"left_categ","centleft_categ","centright_categ","right_categ","character","switch_cond","trial_cond","trialN","opt_choice","corr_ans","obj_category","opt_choice_cat","cuedCharacter","V1","P1","V2","P2","V3","P3","V4","P4","Prob","Delta","response","respCat","accuracy","task_resp.keys","participant"
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,0,23,1,2,"Kitchen & utensil","Outdoor activity & sport item","stimuli/m2.png",0.146551724137931,0.246874436706258,0.085909631391201,0.228016455909573,0.0295218590630881,0.211776267533303,0.192556070359588,0.313332839850866,NA,-0.328478002378121,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,0,24,1,3,"Electronic device & accessory","Outdoor activity & sport item","stimuli/m2.png",0.499702734839477,0.260174209998162,0.085909631391201,0.240300300324088,0.0295218590630881,0.223185210412836,0.192556070359588,0.276340279264914,NA,0.853448275862069,3,"Electronic device & accessory",1,3,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,0,25,4,3,"Electronic device & accessory","Hand labour tool & accessory","stimuli/m5.png",0.499702734839477,0.264392335799075,0.828078585456134,0.406555201888954,0.146551724137931,0.190611520624251,0.00594697993263159,0.13844094168772,NA,-0.25,2,"Kitchen & utensil",0,2,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,0,26,1,4,"Hand labour tool & accessory","Outdoor activity & sport item","stimuli/m2.png",0.499702734839477,0.358400386593206,0.085909631391201,0.208395789756246,0.0295218590630881,0.193553058914902,0.11287769641769,0.239650764735647,NA,-0.192556070359588,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,27,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.292929189388659,0.367122909042358,0.085909631391201,0.213467594984293,0.0295218590630881,0.198263631125873,0.11287769641769,0.221145864847477,NA,-0.499702734839477,3,"Electronic device & accessory",0,3,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,28,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.292929189388659,0.306714576093392,0.085909631391201,0.233843149315251,0.0295218590630881,0.217187961950678,0.479962787555197,0.242254312640679,NA,0.88712230358231,1,"Outdoor activity & sport item",1,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,29,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.171717111020938,0.266791488827174,0.085909631391201,0.203405272590809,0.0295218590630881,0.18891798512542,0.479962787555197,0.340885253456596,NA,-0.292929189388659,3,"Electronic device & accessory",0,3,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,0,30,4,2,"Kitchen & utensil","Hand labour tool & accessory","stimuli/m5.png",0.499702734839477,0.270939107627722,0.485425377681182,0.416622150821012,0.146551724137931,0.170569783486925,0.00594697993263159,0.141868958064341,NA,-0.828078585456134,4,"Hand labour tool & accessory",0,4,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,1,31,4,4,"Hand labour tool & accessory","Hand labour tool & accessory","stimuli/m5.png",0.499702734839477,0.319016383250239,0.485425377681182,0.313103622644611,0.146551724137931,0.200836844471128,0.00348616065016334,0.167043149634022,NA,-0.00594697993263159,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,32,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.171717111020938,0.236892523382214,0.085909631391201,0.211699785166485,0.0295218590630881,0.196621731362846,0.695150599601323,0.354785960088455,NA,0.520037212444803,1,"Outdoor activity & sport item",1,1,1
